English Term,中文,Simple English,中文小白理解,Module/Topic,Source Raw File
Text-to-Speech (TTS),文本转语音,Turning text into spoken audio.,把文字读成声音。,03 / Speech Audio Models,03-multimodal-models.md; 03-speech-audio-models.md; 07-audio-generation.md
Modality,模态;信息类型,"A kind of data such as text, image, audio, or video.","一类信息形式,如文字、图片、声音或视频。",03 / Multimodal Models,01-deep-learning.md; 03-multimodal-models.md; 03-speech-audio-models.md; 03-vision-foundation-models.md; 07-audio-generation.md; 07-image-generation.md; 07-multimodal-ai.md; 07-video-generation.md; 08-embeddings.md; 13-major-ai-providers.md; 13-model-types-families.md
Input Modality,输入模态,A data type accepted by a model.,模型能够接收的一种信息形式。,03 / Multimodal Models,03-multimodal-models.md; 05-inference.md; 07-multimodal-ai.md; 13-model-types-families.md
Output Modality,输出模态,A data type generated by a model.,模型能够生成的一种信息形式。,03 / Multimodal Models,03-multimodal-models.md; 05-inference.md; 07-multimodal-ai.md; 13-model-types-families.md
Modality Fusion,模态融合,Combining signals from multiple modalities.,把多个模态的信号合在一起。,03 / Multimodal Models,03-multimodal-models.md
Image Captioning,图像描述生成,Generate a text description of an image.,根据图片生成文字描述。,03 / Multimodal Models,03-multimodal-models.md; 03-vision-foundation-models.md
Visual Question Answering (VQA),视觉问答,Answer questions using visual input.,根据图片内容回答问题。,03 / Multimodal Models,03-multimodal-models.md; 03-vision-foundation-models.md
Optical Character Recognition (OCR),光学字符识别,Read text from an image.,从图片里识别出文字。,03 / Vision Foundation Models,03-multimodal-models.md; 03-vision-foundation-models.md; 12-monitoring.md
Image-Text Alignment,图文对齐,How well an image and text correspond.,图片和文字表达的意思是否对应。,03 / Multimodal Models,03-multimodal-models.md; 03-vision-foundation-models.md; 07-image-generation.md
Image-Text Contrastive Learning,图文对比学习,Train on matching and non-matching image-text pairs.,用匹配和不匹配的图片文字对训练。,03 / Multimodal Models,03-multimodal-models.md
Image-to-Text,图像转文本,Produce text from an image.,根据图片生成文字。,03 / Multimodal Models,03-multimodal-models.md
Model Parameter,模型参数,A learned numeric value that determines part of a model's behavior.,模型通过训练学出来、决定行为的一组数字。,03 / Parameters,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 02-attention.md; 02-layers.md; 02-neural-networks.md; 03-foundation-models.md; 03-large-language-models.md; 03-parameters.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-token.md; 06-system-prompts.md; 07-image-generation.md; 07-text-generation.md; 09-memory-state.md; 10-quantization.md; 12-continuous-improvement.md
Model Size,模型规模,"The overall size of a model, often related to parameters",通常和参数数量相关的模型大小,03 / Parameters,01-deep-learning.md; 03-large-language-models.md; 03-parameters.md; 10-gpu-vram-unified-memory.md; 10-local-vs-cloud.md; 10-quantization.md
Parameter Count,参数量,The number of parameters in a model,模型里参数的数量,03 / Parameters,01-deep-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 10-quantization.md
Model Capacity,模型容量,How much complexity a model can represent,模型能表示多复杂规律的能力,03 / Parameters,02-layers.md; 03-parameters.md
Scientific Model,科学模型,A model that learns or represents patterns in scientific data.,从科学数据中学习规律、用于表示或预测的模型。,03 / Scientific Models,03-scientific-models.md
Scientific Foundation Model,科学基础模型,A broadly trained AI model for scientific data and tasks.,在科学数据上广泛训练、可以支持多种科学任务的 AI 模型。,03 / Scientific Models,03-scientific-models.md
Pre-Trained Model,预训练模型,A model that has completed broad initial training.,已经完成基础训练、可以继续使用或适配的模型。,03 / Foundation Models,03-foundation-models.md; 03-large-language-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md
Base Model,基础模型 / 底座模型,The broadly trained model before task-specific adaptation.,还没针对具体任务改造的通用模型底座。,03 / Foundation Models,01-artificial-intelligence.md; 03-foundation-models.md; 03-large-language-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md
Specialized Model,专门化模型,A model adapted for a narrower behavior or task.,针对某项任务表现更稳定的模型。,03 / Foundation Models,04-fine-tuning.md; 13-model-types-families.md
Model API,模型 API,An API endpoint that accepts model requests.,接收输入、返回模型结果的接口。,03 / Foundation Models,03-large-language-models.md; 19-product-services.md
Model Runtime,模型运行时,Software that loads and executes a model.,负责加载模型并执行推理的软件环境。,10 / Model Serving,01-deep-learning.md; 03-large-language-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-inference.md; 05-kv-cache.md; 06-system-prompts.md; 07-text-generation.md; 08-grounding.md; 08-rag.md; 10-api.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-vllm.md; 13-open-closed-local-models.md; 15-how-agents-are-built.md; 18-web-cloud-platforms.md; 19-backend-technologies.md
Checkpoint,检查点,A saved model state during training.,训练过程中保存下来、可恢复的模型版本。,03 / Foundation Models,01-deep-learning.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 07-image-generation.md; 09-human-in-the-loop.md
Pre-Training,预训练,Broad initial training on a large dataset before task-specific adaptation.,先用大量通用资料打基础，再针对具体任务调整。,04 / Pre Training,01-artificial-intelligence.md; 01-deep-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-scientific-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-training-data.md; 05-token.md
Training,训练,The process of optimizing a model's learned parameters from data.,让模型从数据中调整内部参数、逐步学会任务规律的过程。,04 / Pre Training,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-attention.md; 02-cnn.md; 02-diffusion-models.md; 02-neural-networks.md; 03-foundation-models.md; 03-large-language-models.md; 03-parameters.md; 03-scientific-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 05-context-window.md; 05-inference.md; 05-next-token-prediction.md; 06-system-prompts.md; 07-generative-ai.md; 07-image-generation.md; 07-text-generation.md; 08-grounding.md; 08-rag.md; 09-human-in-the-loop.md; 10-quantization.md; 12-adoption.md; 12-integration.md
Pre-Training Objective,训练目标,The prediction or optimization goal used during training.,训练时规定模型要尽量做到的事情。,04 / Pre Training,03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 08-embeddings.md
Next-Token Prediction,下一个词元预测,Predicting the next token in a sequence.,预测一句话接下来最可能出现的词元。,04 / Pre Training,02-rnn-lstm.md; 03-large-language-models.md; 03-parameters.md; 04-pre-training.md; 05-inference.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 07-text-generation.md
Missing-Token Prediction,缺失词元预测,Predicting a token hidden inside an example.,猜出被遮住的词元。,04 / Pre Training,04-pre-training.md
Masked Language Modeling,掩码语言建模,Training by hiding tokens and predicting the hidden content.,"把句子中的词遮住,让模型猜回来。",04 / Pre Training,04-pre-training.md
Causal Language Modeling,因果语言建模,Training a language model to predict later tokens from earlier ones.,只能根据前文预测后文的语言训练方式。,04 / Pre Training,03-large-language-models.md; 04-pre-training.md
Autoregressive Modeling,自回归模型,A generative model that produces outputs step by step from prior outputs.,"依赖前面已经生成的内容,一步步生成后续内容的模型。",04 / Pre Training,02-diffusion-models.md; 03-large-language-models.md
Fine-Tuning,微调,"Additional training that adapts an existing model to a task, style, or domain.",在已有模型上继续训练，让它更适合某个任务或领域。,04 / Fine Tuning,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-parameters.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 08-grounding.md; 08-rag.md; 10-quantization.md; 12-continuous-improvement.md
Supervised Fine-Tuning (SFT),监督微调（SFT）,Fine-tuning on examples that include desired answers or behaviors.,用带有理想答案的例子继续训练模型。,04 / Fine Tuning,03-large-language-models.md; 04-instruction-tuning.md
Instruction Tuning,指令微调,Training a model to follow natural-language instructions reliably.,专门训练模型更好地理解并执行人类指令。,04 / Instruction Tuning,03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-instruction-tuning.md; 04-pre-training.md; 04-training-data.md
Parameter-Efficient Fine-Tuning (PEFT),参数高效微调,Adapting a model while changing only a small part of its parameters.,只改很少一部分参数来适配模型。,04 / Fine Tuning,03-foundation-models.md; 03-parameters.md
Low-Rank Adaptation (LoRA),低秩适配（LoRA）,A parameter-efficient fine-tuning method that learns a small low-rank update.,不改动全部大参数，只训练一小组低秩更新来适配模型。,04 / Fine Tuning,03-foundation-models.md; 03-multimodal-models.md; 03-parameters.md
Preference Learning,偏好学习,Training a model using feedback about which outputs are more desirable.,"用""哪个结果更好""的反馈来训练模型。",04 / Preference Learning Rlhf,03-foundation-models.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 04-training-data.md
Reinforcement Learning from Human Feedback (RLHF),基于人类反馈的强化学习（RLHF）,Using human preferences as feedback to improve a model's behavior.,让人评价模型答案，再用这些偏好反馈改进模型。,04 / Preference Learning Rlhf,01-deep-learning.md; 03-foundation-models.md; 03-large-language-models.md; 04-pre-training.md; 04-preference-learning-rlhf.md
Human Feedback,人类反馈,Feedback supplied by people.,人来评价模型回答并提供意见。,04 / Preference Learning Rlhf,03-foundation-models.md; 04-preference-learning-rlhf.md; 04-training-data.md; 09-human-in-the-loop.md
Reward Model,奖励模型,A model that predicts how desirable an output is.,学习判断回答好坏的模型。,04 / Preference Learning Rlhf,04-preference-learning-rlhf.md
Preference Model,偏好模型,A model that predicts which output people would prefer.,预测人们会更喜欢哪个回答的模型。,04 / Preference Learning Rlhf,04-preference-learning-rlhf.md
Reward Signal,奖励信号,A signal used to reinforce some behaviors.,用来鼓励某些行为的信号。,04 / Preference Learning Rlhf,01-reinforcement-learning.md; 03-foundation-models.md; 04-preference-learning-rlhf.md
Training Example,训练示例,An example used during training,训练时给模型看的一个例子,04 / Training Data,01-deep-learning.md; 01-supervised-learning.md; 03-parameters.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-training-data.md
Training Pipeline,训练流水线,A repeatable sequence for preparing data and training,可重复执行的数据准备和训练流程,04 / Training Data,01-deep-learning.md; 01-machine-learning.md; 03-foundation-models.md; 04-training-data.md
Data Provenance,数据溯源,Information about where data came from and how it changed.,记录数据来源以及经过哪些处理。,04 / Training Data,03-foundation-models.md; 11-hallucination.md
Deduplication,去重,Removing repeated or near-repeated training examples.,删除重复或几乎一样的训练材料。,04 / Training Data,04-pre-training.md; 08-retrieval.md
Data Filtering,数据筛选,Selecting training examples according to quality or safety rules.,按质量和安全要求挑选哪些数据能进入训练。,04 / Training Data,04-pre-training.md
Label Quality,标签质量,How accurate and consistent labels are,标签是否准确、统一、可靠,04 / Training Data,01-supervised-learning.md; 04-preference-learning-rlhf.md
Alignment,对齐,Making model behavior better match desired behavior.,让模型做事更符合人们期望。,04 / Preference Learning Rlhf,03-foundation-models.md; 03-multimodal-models.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 07-image-generation.md
Alignment Training,对齐训练,Training intended to match desired behavior.,专门让模型行为符合目标的训练。,04 / Preference Learning Rlhf,04-preference-learning-rlhf.md
Specification Gaming,规范投机,Satisfying a formal rule while missing its intended purpose.,"表面满足规则,但偏离真正意图。",04 / Preference Learning Rlhf,04-preference-learning-rlhf.md
Inference,推理,Running a trained model on an input to produce an output.,把训练好的模型真正拿来回答问题或生成结果。,05 / Inference,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 01-supervised-learning.md; 01-unsupervised-learning.md; 02-attention.md; 02-cnn.md; 02-transformer.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-parameters.md; 03-vision-foundation-models.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 05-context-window.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 05-tokenization.md; 06-system-prompts.md; 07-image-generation.md; 07-text-generation.md; 10-api.md; 10-gpu-vram-unified-memory.md; 10-local-vs-cloud.md; 10-model-serving.md; 10-ollama.md; 10-quantization.md; 10-runtime-constraints.md; 10-tokens-per-second.md; 10-vllm.md; 13-open-closed-local-models.md
Inference Pipeline,推理管线,The connected stages from input preparation to output.,从准备输入、运行模型到返回结果的一串处理环节。,05 / Inference,01-deep-learning.md; 05-inference.md; 05-kv-cache.md; 10-vllm.md
Inference Request,推理请求,A request to run a trained model on supplied input.,要求模型处理一份输入的请求。,05 / Inference,03-foundation-models.md; 05-inference.md; 05-kv-cache.md; 10-model-serving.md; 10-runtime-constraints.md; 13-open-closed-local-models.md
Context Window,上下文窗口,The maximum amount of input and output context a model can handle at once.,模型一次能看到和处理的文字容量上限。,05 / Context Window,01-deep-learning.md; 02-attention.md; 02-transformer.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-context-window.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 05-tokenization.md; 06-context-engineering.md; 07-text-generation.md; 08-grounding.md; 08-rag.md; 09-memory-state.md; 10-gpu-vram-unified-memory.md; 10-model-serving.md; 10-ollama.md; 10-runtime-constraints.md; 10-tokens-per-second.md
Context Length,上下文长度,The length of the context measured in tokens or content units.,当前上下文包含多少 token 或内容长度。,05 / Context Window,03-foundation-models.md; 03-large-language-models.md; 05-context-window.md; 05-token.md; 05-tokenization.md; 10-gpu-vram-unified-memory.md; 13-open-closed-local-models.md
Context Budget,上下文预算,The total token space available for the operation.,输入和输出可以共同使用的总空间。,05 / Context Window,02-attention.md; 03-foundation-models.md; 05-context-window.md; 05-inference.md; 05-token.md; 05-tokenization.md; 08-grounding.md; 08-rag.md; 10-runtime-constraints.md
Context Overflow,上下文溢出,A situation where needed content exceeds available context capacity.,要放的内容超过窗口能容纳的范围。,05 / Context Window,03-foundation-models.md; 05-context-window.md
Token,词元,A small unit of text or other data that a model processes.,模型处理文字时使用的小片段，不一定刚好等于一个汉字或单词。,05 / Token,01-artificial-intelligence.md; 01-deep-learning.md; 02-attention.md; 02-layers.md; 02-transformer.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-parameters.md; 03-scientific-models.md; 04-pre-training.md; 05-context-window.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 05-tokenization.md; 07-generative-ai.md; 07-text-generation.md; 08-chunking.md; 08-embeddings.md; 08-rag.md; 10-latency.md; 10-model-serving.md; 10-runtime-constraints.md; 10-tokens-per-second.md
Input Token,输入 token;输入词元,A token supplied to a model as input.,用户输入被切分后的 token。,05 / Token,02-transformer.md; 05-token.md
Output Token,输出 token;输出词元,A token produced by a model.,模型生成的一小段文字或符号。,05 / Token,05-token.md; 07-text-generation.md; 10-latency.md; 10-vllm.md
Token Sequence,token 序列,An ordered sequence of tokens representing text.,按原文顺序排列的一串 token。,05 / Token,02-layers.md; 03-large-language-models.md; 04-pre-training.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-token.md; 05-tokenization.md
Tokenization,词元化,Splitting input text into the tokens a model can process.,把文字切成模型能识别的小单位。,05 / Tokenization,01-deep-learning.md; 02-attention.md; 03-large-language-models.md; 04-pre-training.md; 05-context-window.md; 05-inference.md; 05-next-token-prediction.md; 05-token.md; 05-tokenization.md; 10-tokens-per-second.md
Tokenizer,分词器;词元分析器,A component that divides text into token pieces.,负责把文字切成词元的工具或组件。,05 / Tokenization,03-large-language-models.md; 04-pre-training.md; 05-token.md; 05-tokenization.md
Subword Token,子词 token,A token representing a whole word or part of a word.,"可以是完整单词,也可以只是单词的一部分。",05 / Tokenization,03-large-language-models.md
Special Token,特殊词元,A reserved token with a control or structural role.,不是普通文字、而是用于控制流程的词元。,05 / Tokenization,05-token.md; 05-tokenization.md
Logit,logit;未归一化分数,A raw model score before conversion to probabilities.,转成概率前模型输出的原始分数。,05 / Next Token Prediction,03-large-language-models.md; 05-inference.md
Softmax,softmax 函数,A function that turns scores into normalized weights,把分数转成总和通常为 1 的权重,05 / Next Token Prediction,02-attention.md; 03-large-language-models.md; 04-pre-training.md
Sampling,采样,A method for choosing the next token from possible choices.,从模型认为可能的选项里选出下一个词元的办法。,05 / Sampling Temperature,01-deep-learning.md; 01-machine-learning.md; 03-large-language-models.md; 05-inference.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 07-image-generation.md; 07-text-generation.md
Temperature,温度参数,A sampling setting that controls how varied or conservative model outputs are.,调节模型回答更稳定还是更多样的参数。,05 / Sampling Temperature,02-attention.md; 03-large-language-models.md; 05-inference.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 07-text-generation.md
Top-k Sampling,Top-k 采样,Sampling only from the k highest-scoring candidates.,只在分数最高的 k 个候选中选择。,05 / Sampling Temperature,03-large-language-models.md; 08-retrieval.md; 08-semantic-search.md
Top-p Sampling,Top-p 采样,Sampling from the smallest candidate set reaching probability p.,从累计概率达到 p 的最小候选集合中采样。,05 / Sampling Temperature,03-large-language-models.md
Greedy Decoding,贪心解码,Always selecting the highest-scoring next token.,每一步都选分数最高的 token。,05 / Sampling Temperature,03-large-language-models.md; 05-inference.md; 05-token.md
Decoding,解码,The process of selecting output tokens from model scores or probabilities.,根据模型分数或概率逐步选出输出词元。,05 / Sampling Temperature,03-large-language-models.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-sampling-temperature.md; 05-token.md; 05-tokenization.md; 07-audio-generation.md; 07-video-generation.md
End-of-Sequence Token (EOS),序列结束 token,A special token indicating that a sequence can end.,表示一段 token 序列可以结束的特殊 token。,05 / Token,03-large-language-models.md; 05-tokenization.md
Key-Value Cache (KV Cache),键值缓存（KV Cache）,Cached attention information reused while generating a sequence.,生成长回答时把已经算过的注意力信息存起来，减少重复计算。,05 / KV Cache,02-attention.md; 02-transformer.md; 03-large-language-models.md; 05-context-window.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 10-gpu-vram-unified-memory.md; 10-runtime-constraints.md; 10-tokens-per-second.md; 13-open-closed-local-models.md
Prefill,预填充,The initial pass that processes the prompt and populates the cache.,先一次性读入提示词并把缓存准备好的阶段。,05 / KV Cache,05-kv-cache.md; 10-latency.md
Decode Phase,解码阶段,The phase that generates output tokens after prefill.,缓存准备好后逐个生成输出词元的阶段。,05 / KV Cache,05-kv-cache.md
Autoregressive Generation,自回归生成,Generate the next token using previous tokens,根据前面已有词元生成下一个词元,05 / Next Token Prediction,02-attention.md; 03-large-language-models.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 05-token.md
Prompt,提示词,The instructions and input given to a model.,发给模型的问题、要求和补充资料。,06 / Prompt Design,01-artificial-intelligence.md; 02-diffusion-models.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 03-parameters.md; 03-scientific-models.md; 03-speech-audio-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-preference-learning-rlhf.md; 04-prompting-vs-rag-vs-fine-tuning.md; 04-training-data.md; 05-context-window.md; 05-inference.md; 05-kv-cache.md; 05-next-token-prediction.md; 06-context-engineering.md; 06-prompt-design.md; 06-system-prompts.md; 07-audio-generation.md; 07-generative-ai.md; 07-image-generation.md; 07-multimodal-ai.md; 07-text-generation.md; 08-grounding.md; 08-rag.md; 09-mcp.md; 10-api.md; 10-latency.md; 10-model-serving.md; 10-ollama.md; 11-hallucination.md; 12-continuous-improvement.md; 12-monitoring.md; 13-model-types-families.md; 16-ai-workflow-platforms.md
Prompt Engineering,提示词工程,Designing prompts so a model is more likely to produce the desired result.,通过设计提示词让模型更稳定地完成任务。,06 / Prompt Design,01-artificial-intelligence.md; 01-machine-learning.md; 03-foundation-models.md; 03-large-language-models.md; 03-scientific-models.md; 03-vision-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 04-pre-training.md; 04-prompting-vs-rag-vs-fine-tuning.md; 06-context-engineering.md; 06-prompt-design.md; 06-system-prompts.md; 07-image-generation.md; 12-continuous-improvement.md
Prompt Template,提示模板,A reusable structure for constructing prompts.,可以反复套用来生成提示词的结构。,06 / Prompt Design,03-foundation-models.md
System Prompt,系统提示词,"Instructions supplied by the application to set a model's role, rules, or behavior.",应用预先给模型的身份、规则和行为要求。,06 / System Prompts,03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 05-context-window.md; 06-context-engineering.md; 06-prompt-design.md; 06-structured-outputs.md; 06-system-prompts.md; 08-rag.md; 09-agent-loop.md; 09-ai-agent.md; 11-failure-handling.md; 11-guardrails.md; 11-prompt-injection.md; 15-how-agents-are-built.md
User Prompt,用户提示;用户请求,The user's request for the current interaction.,用户这一次发给模型的问题或要求。,06 / Prompt Design,03-foundation-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 06-context-engineering.md; 06-prompt-design.md; 06-system-prompts.md
In-Context Learning,上下文学习,Adapting behavior from examples or context in the prompt.,"不改参数,只根据当前上下文里的示例临时学习。",06 / Prompt Design,03-foundation-models.md
Chain-of-Thought,思维链,Intermediate reasoning steps used to solve a problem.,解决问题时中间的一连串推理步骤。,06 / Prompt Design,03-foundation-models.md
Context Engineering,上下文工程,Designing and assembling the information a model receives at runtime.,设计模型在运行时到底看到哪些资料、以什么顺序看到。,06 / Context Engineering,06-context-engineering.md; 06-prompt-design.md
Context Assembly,上下文组装,Putting the selected context sources together before a model run.,在模型运行前把需要的各种信息拼在一起。,06 / Context Engineering,03-foundation-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 06-context-engineering.md; 08-grounding.md; 08-rag.md; 10-latency.md
Context Grounding,上下文依据化,Using supplied context to anchor a model response.,用给定上下文约束和支撑模型回答。,06 / Context Engineering,03-foundation-models.md
Structured Output,结构化输出,Model output constrained to a predictable format such as JSON fields.,要求模型按固定字段和格式返回结果。,06 / Structured Outputs,02-diffusion-models.md; 03-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 06-context-engineering.md; 06-prompt-design.md; 06-structured-outputs.md; 06-system-prompts.md; 07-generative-ai.md; 07-text-generation.md; 08-grounding.md; 09-ai-agent.md; 09-tool-calling.md; 11-failure-handling.md; 11-functional-tests.md
Output Schema,模式;架构;结构定义,A formal description of the fields and rules a result should follow.,描述结果有哪些字段、什么类型、有什么规则的说明。,06 / Structured Outputs,03-foundation-models.md; 04-fine-tuning.md; 04-instruction-tuning.md; 06-context-engineering.md; 06-structured-outputs.md; 06-system-prompts.md; 07-code-generation.md; 07-generative-ai.md; 10-api.md; 11-benchmarks.md; 11-functional-tests.md; 12-integration.md
JSON,JSON 数据格式,"A text format for representing structured data with objects, arrays, and values.",一种用文字表达字段、列表和数据值的常见格式。,06 / Structured Outputs,03-foundation-models.md; 04-instruction-tuning.md; 06-structured-outputs.md; 07-text-generation.md; 11-failure-handling.md; 18-backend-data-platforms.md
Output Parser,解析器,A component that converts formatted data into usable values.,把格式化数据读成可使用值的程序。,06 / Structured Outputs,06-structured-outputs.md
Schema Validation,模式验证,Checking a result against a schema.,按结构定义检查结果。,06 / Structured Outputs,03-foundation-models.md; 06-structured-outputs.md; 11-benchmarks.md; 11-failure-handling.md
Instruction Hierarchy,指令层级,An ordering of instruction sources by authority.,不同来源指令之间的优先级关系。,06 / System Prompts,03-foundation-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 06-system-prompts.md; 08-grounding.md; 11-prompt-injection.md
Generative AI,生成式人工智能,"AI that creates new text, images, audio, video, code, or other content.",能够生成新内容，而不只是分类或检索已有内容的 AI。,07 / Generative Ai,01-artificial-intelligence.md; 01-deep-learning.md; 01-machine-learning.md; 02-diffusion-models.md; 03-foundation-models.md; 03-large-language-models.md; 03-multimodal-models.md; 07-audio-generation.md; 07-code-generation.md; 07-generative-ai.md; 07-image-generation.md; 07-multimodal-ai.md; 07-text-generation.md
Generative Model,生成模型,A model that produces new content from input.,根据输入生成新内容的模型。,07 / Generative Ai,01-artificial-intelligence.md; 01-deep-learning.md; 02-diffusion-models.md; 03-foundation-models.md; 03-large-language-models.md; 04-prompting-vs-rag-vs-fine-tuning.md; 07-audio-generation.md; 07-generative-ai.md; 07-image-generation.md; 08-semantic-search.md
Text Generation,文本生成,Using an AI model to create new text,用 AI 模型生成新的文字,07 / Text Generation,01-deep-learning.md; 03-foundation-models.md; 03-large-language-models.md; 05-kv-cache.md; 05-next-token-prediction.md; 07-text-generation.md; 09-tool-calling.md
Image Generation,图像生成;图片生成,Using AI to create or transform visual content.,"用 AI 生成新图片,或修改已有图片。",07 / Image Generation,02-diffusion-models.md; 03-foundation-models.md; 03-vision-foundation-models.md; 07-generative-ai.md; 07-image-generation.md; 07-multimodal-ai.md; 07-video-generation.md; 13-model-types-families.md
Video Generation,视频生成,The use of AI models to create or transform moving visual content.,用 AI 模型生成或变换会动的视觉内容。,07 / Video Generation,02-diffusion-models.md; 07-audio-generation.md; 07-image-generation.md; 07-multimodal-ai.md; 07-video-generation.md; 13-model-types-families.md
Audio Generation,音频生成,"Using AI models to create new sound, speech, music, or other audio.",用 AI 产生新的声音、语音、音乐或其他音频。,07 / Audio Generation,03-speech-audio-models.md; 07-audio-generation.md; 07-multimodal-ai.md
Code Generation,代码生成,Producing source code with an AI model.,用 AI 模型生成源代码。,07 / Code Generation,03-large-language-models.md; 07-code-generation.md; 07-image-generation.md; 07-text-generation.md; 11-benchmarks.md
Multimodal AI,多模态人工智能,AI that works with more than one type of information.,能处理不止一种信息形式的人工智能。,07 / Multimodal Ai,03-multimodal-models.md; 03-speech-audio-models.md; 07-image-generation.md; 07-multimodal-ai.md; 07-video-generation.md
Image Generator,图像生成器,A system that creates new images.,根据输入生成新图片的系统。,07 / Image Generation,02-cnn.md; 03-vision-foundation-models.md
Text-to-Image Generation,文本生成图像;文生图(T2I),A system maps text conditions to an image.,输入文字、输出图片的生成方式。,07 / Image Generation,02-diffusion-models.md; 03-multimodal-models.md; 07-image-generation.md; 07-multimodal-ai.md; 13-model-types-families.md
Image-to-Image Generation,图生图;图像到图像,Generating or editing an image from an image input.,参考一张图片生成或修改另一张图片。,07 / Image Generation,02-diffusion-models.md; 03-multimodal-models.md; 07-image-generation.md; 13-model-types-families.md
Text-to-Video Generation,文本到视频生成,Video generation conditioned on text.,由文字条件引导的视频生成。,07 / Video Generation,03-multimodal-models.md; 07-video-generation.md; 13-model-types-families.md
Inpainting,图像修复;局部重绘,Filling or replacing a selected area of an image.,只修改图片中指定的一块区域。,07 / Image Generation,07-image-generation.md
Outpainting,外扩绘制;画面扩展,Extending an image beyond its original boundaries.,把图片边界向外扩展并补出新画面。,07 / Image Generation,07-image-generation.md
Conditional Generation,条件生成,Generation constrained or guided by an input condition.,按给定条件生成内容。,07 / Text Generation,07-image-generation.md
Code Completion,代码补全,Generating code that continues a partial snippet.,接着已有代码把后面的部分补出来。,07 / Code Generation,07-code-generation.md; 11-benchmarks.md
